u_e,v_1
-120.0,13.662
-119.9,13.6972
-119.8,13.7317
-119.7,13.7663
-119.6,13.801
-119.5,13.8357
-119.4,13.8705
-119.3,13.9053
-119.2,13.9402
-119.1,13.9751
-119.0,14.0101
-118.9,14.0452
-118.8,14.0803
-118.7,14.1154
-118.6,14.1506
-118.5,14.1859
-118.4,14.2212
-118.3,14.2565
-118.2,14.2919
-118.1,14.3274
-118.0,14.3629
-117.9,14.3984
-117.8,14.4341
-117.7,14.4697
-117.6,14.5054
-117.5,14.5412
-117.4,14.577
-117.3,14.6129
-117.2,14.6488
-117.1,14.6848
-117.0,14.7208
-116.9,14.7569
-116.8,14.793
-116.7,14.8292
-116.6,14.8654
-116.5,14.9017
-116.4,14.938
-116.3,14.9744
-116.2,15.0109
-116.1,15.0473
-116.0,15.0839
-115.9,15.1204
-115.8,15.1571
-115.7,15.1937
-115.6,15.2305
-115.5,15.2673
-115.4,15.3041
-115.3,15.341
-115.2,15.3779
-115.1,15.4149
-115.0,15.4519
-114.9,15.489
-114.8,15.5261
-114.7,15.5632
-114.6,15.6005
-114.5,15.6377
-114.4,15.675
-114.3,15.7124
-114.2,15.7498
-114.1,15.7873
-114.0,15.8248
-113.9,15.8623
-113.8,15.8999
-113.69999999999999,15.9376
-113.60000000000001,15.9753
-113.5,16.013
-113.4,16.0508
-113.3,16.0886
-113.19999999999999,16.1265
-113.10000000000001,16.1644
-113.0,16.2024
-112.9,16.2404
-112.8,16.2785
-112.69999999999999,16.3166
-112.60000000000001,16.3547
-112.5,16.3929
-112.4,16.4312
-112.3,16.4695
-112.19999999999999,16.5078
-112.10000000000001,16.5462
-112.0,16.5846
-111.9,16.6231
-111.8,16.6616
-111.69999999999999,16.7001
-111.60000000000001,16.7387
-111.5,16.7774
-111.4,16.8161
-111.3,16.8548
-111.19999999999999,16.8936
-111.10000000000001,16.9324
-111.0,16.9713
-110.9,17.0102
-110.8,17.0491
-110.7,17.0881
-110.60000000000001,17.1271
-110.5,17.1662
-110.39999999999999,17.2053
-110.3,17.2445
-110.2,17.2837
-110.10000000000001,17.323
-110.0,17.3623
-109.89999999999999,17.4016
-109.8,17.441
-109.7,17.4804
-109.60000000000001,17.5198
-109.5,17.5593
-109.39999999999999,17.5989
-109.3,17.6384
-109.2,17.6781
-109.10000000000001,17.7177
-109.0,17.7574
-108.89999999999999,17.7972
-108.8,17.8369
-108.7,17.8767
-108.60000000000001,17.9166
-108.5,17.9565
-108.39999999999999,17.9964
-108.3,18.0364
-108.2,18.0764
-108.10000000000001,18.1165
-108.0,18.1565
-107.89999999999999,18.1967
-107.80000000000001,18.2368
-107.7,18.277
-107.6,18.3173
-107.5,18.3575
-107.39999999999999,18.3979
-107.30000000000001,18.4382
-107.2,18.4786
-107.1,18.519
-107.0,18.5595
-106.89999999999999,18.6
-106.80000000000001,18.6405
-106.7,18.6811
-106.6,18.7217
-106.5,18.7623
-106.39999999999999,18.803
-106.30000000000001,18.8437
-106.2,18.8844
-106.1,18.9252
-106.0,18.966
-105.89999999999999,19.0069
-105.80000000000001,19.0478
-105.7,19.0887
-105.6,19.1296
-105.5,19.1706
-105.39999999999999,19.2116
-105.30000000000001,19.2527
-105.2,19.2938
-105.1,19.3349
-105.0,19.376
-104.89999999999999,19.4172
-104.80000000000001,19.4584
-104.7,19.4997
-104.6,19.541
-104.5,19.5823
-104.4,19.6236
-104.3,19.665
-104.2,19.7064
-104.1,19.7478
-104.0,19.7893
-103.9,19.8308
-103.8,19.8723
-103.7,19.9139
-103.6,19.9555
-103.5,19.9971
-103.4,20.0387
-103.3,20.0804
-103.2,20.1221
-103.1,20.1639
-103.0,20.2056
-102.9,20.2474
-102.8,20.2892
-102.7,20.3311
-102.6,20.373
-102.5,20.4149
-102.4,20.4568
-102.3,20.4987
-102.2,20.5407
-102.1,20.5827
-102.0,20.6248
-101.9,20.6668
-101.8,20.7089
-101.7,20.751
-101.6,20.7932
-101.5,20.8353
-101.4,20.8775
-101.3,20.9197
-101.2,20.962
-101.1,21.0042
-101.0,21.0465
-100.9,21.0888
-100.8,21.1312
-100.7,21.1735
-100.6,21.2159
-100.5,21.2583
-100.4,21.3007
-100.3,21.3432
-100.2,21.3857
-100.1,21.4282
-100.0,21.4707
-99.9,21.5132
-99.8,21.5558
-99.7,21.5984
-99.6,21.641
-99.5,21.6836
-99.4,21.7263
-99.3,21.7689
-99.2,21.8116
-99.1,21.8543
-99.0,21.8971
-98.9,21.9398
-98.8,21.9826
-98.7,22.0254
-98.6,22.0682
-98.5,22.111
-98.4,22.1539
-98.3,22.1967
-98.19999999999999,22.2396
-98.10000000000001,22.2825
-98.0,22.3254
-97.9,22.3684
-97.8,22.4113
-97.69999999999999,22.4543
-97.60000000000001,22.4973
-97.5,22.5403
-97.4,22.5833
-97.3,22.6263
-97.19999999999999,22.6694
-97.10000000000001,22.7124
-97.0,22.7555
-96.9,22.7986
-96.8,22.8417
-96.69999999999999,22.8848
-96.60000000000001,22.928
-96.5,22.9711
-96.4,23.0143
-96.3,23.0575
-96.19999999999999,23.1007
