environment | t (second),environment | Nai (mM),environment | v_cyc_nak (per_second)
0,0,0
0.1,0.1,6.80867e-05
0.2,0.2,0.000527743
0.3,0.3,0.00172647
0.4,0.4,0.00396845
0.5,0.5,0.00751931
0.6,0.6,0.0126102
0.7,0.7,0.0194416
0.8,0.8,0.0281866
0.9,0.9,0.0389937
1,1,0.0519894
1.1,1.1,0.067281
1.2,1.2,0.0849579
1.3,1.3,0.105094
1.4,1.4,0.127749
1.5,1.5,0.152972
1.6,1.6,0.180797
1.7,1.7,0.211252
1.8,1.8,0.244353
1.9,1.9,0.280112
2,2,0.318529
2.1,2.1,0.359602
2.2,2.2,0.403321
2.3,2.3,0.449672
2.4,2.4,0.498637
2.5,2.5,0.550192
2.6,2.6,0.604313
2.7,2.7,0.660971
2.8,2.8,0.720134
2.9,2.9,0.781769
3,3,0.84584
3.1,3.1,0.912311
3.2,3.2,0.981142
3.3,3.3,1.05229
3.4,3.4,1.12573
3.5,3.5,1.2014
3.6,3.6,1.27926
3.7,3.7,1.35929
3.8,3.8,1.44142
3.9,3.9,1.52562
4,4,1.61184
4.1,4.1,1.70005
4.2,4.2,1.79019
4.3,4.3,1.88223
4.4,4.4,1.97611
4.5,4.5,2.07181
4.6,4.6,2.16927
4.7,4.7,2.26846
4.8,4.8,2.36932
4.9,4.9,2.47183
5,5,2.57594
5.1,5.1,2.68161
5.2,5.2,2.78879
5.3,5.3,2.89746
5.4,5.4,3.00756
5.5,5.5,3.11908
5.6,5.6,3.23195
5.7,5.7,3.34616
5.8,5.8,3.46165
5.9,5.9,3.57841
6,6,3.69638
6.1,6.1,3.81554
6.2,6.2,3.93585
6.3,6.3,4.05729
6.4,6.4,4.1798
6.5,6.5,4.30338
6.6,6.6,4.42797
6.7,6.7,4.55356
6.8,6.8,4.68011
6.9,6.9,4.80759
7,7,4.93598
7.1,7.1,5.06524
7.2,7.2,5.19534
7.3,7.3,5.32627
7.4,7.4,5.45798
7.5,7.5,5.59047
7.6,7.6,5.72369
7.7,7.7,5.85763
7.8,7.8,5.99226
7.9,7.9,6.12755
8,8,6.26349
8.1,8.1,6.40005
8.2,8.2,6.5372
8.3,8.3,6.67493
8.4,8.4,6.81321
8.5,8.5,6.95203
8.6,8.6,7.09136
8.7,8.7,7.23118
8.8,8.8,7.37147
8.9,8.9,7.51221
9,9,7.65339
9.1,9.1,7.79498
9.2,9.2,7.93697
9.3,9.3,8.07933
9.4,9.4,8.22207
9.5,9.5,8.36514
9.6,9.6,8.50855
9.7,9.7,8.65226
9.8,9.8,8.79628
9.9,9.9,8.94058
10,10,9.08514
