environment | t (second),environment | Ke (mM),environment | v_cyc_nak (per_second)
0,0,-3.87253e-05
0.05,0.05,0.0861479
0.1,0.1,0.336798
0.15,0.15,0.738838
0.2,0.2,1.278
0.25,0.25,1.93933
0.3,0.3,2.70766
0.35,0.35,3.56798
0.4,0.4,4.50578
0.45,0.45,5.50729
0.5,0.5,6.55969
0.55,0.55,7.65118
0.6,0.6,8.77111
0.65,0.65,9.90994
0.7,0.7,11.0593
0.75,0.75,12.2118
0.8,0.8,13.3611
0.85,0.85,14.5019
0.9,0.9,15.6297
0.95,0.95,16.7408
1,1,17.832
1.05,1.05,18.901
1.1,1.1,19.9459
1.15,1.15,20.9652
1.2,1.2,21.9579
1.25,1.25,22.9234
1.3,1.3,23.8611
1.35,1.35,24.7711
1.4,1.4,25.6533
1.45,1.45,26.5079
1.5,1.5,27.3353
1.55,1.55,28.136
1.6,1.6,28.9104
1.65,1.65,29.6593
1.7,1.7,30.3833
1.75,1.75,31.083
1.8,1.8,31.7593
1.85,1.85,32.4127
1.9,1.9,33.0442
1.95,1.95,33.6545
2,2,34.2442
2.05,2.05,34.8142
2.1,2.1,35.3651
2.15,2.15,35.8977
2.2,2.2,36.4126
2.25,2.25,36.9106
2.3,2.3,37.3922
2.35,2.35,37.8581
2.4,2.4,38.309
2.45,2.45,38.7454
2.5,2.5,39.1678
2.55,2.55,39.5769
2.6,2.6,39.9731
2.65,2.65,40.3569
2.7,2.7,40.7288
2.75,2.75,41.0894
2.8,2.8,41.439
2.85,2.85,41.778
2.9,2.9,42.1069
2.95,2.95,42.426
3,3,42.7358
3.05,3.05,43.0365
3.1,3.1,43.3286
3.15,3.15,43.6123
3.2,3.2,43.888
3.25,3.25,44.156
3.3,3.3,44.4165
3.35,3.35,44.6698
3.4,3.4,44.9162
3.45,3.45,45.1559
3.5,3.5,45.3893
3.55,3.55,45.6164
3.6,3.6,45.8376
3.65,3.65,46.0529
3.7,3.7,46.2628
3.75,3.75,46.4672
3.8,3.8,46.6665
3.85,3.85,46.8608
3.9,3.9,47.0503
3.95,3.95,47.2351
4,4,47.4153
4.05,4.05,47.5912
4.1,4.1,47.7629
4.15,4.15,47.9305
4.2,4.2,48.0942
4.25,4.25,48.254
4.3,4.3,48.4102
4.35,4.35,48.5628
4.4,4.4,48.7119
4.45,4.45,48.8576
4.5,4.5,49.0001
4.55,4.55,49.1394
4.6,4.6,49.2757
4.65,4.65,49.409
4.7,4.7,49.5395
4.75,4.75,49.6671
4.8,4.8,49.7921
4.85,4.85,49.9144
4.9,4.9,50.0342
4.95,4.95,50.1515
5,5,50.2664
5.05,5.05,50.379
5.1,5.1,50.4893
5.15,5.15,50.5974
5.2,5.2,50.7033
5.25,5.25,50.8072
5.3,5.3,50.909
5.35,5.35,51.0089
5.4,5.4,51.1069
5.45,5.45,51.203
5.5,5.5,51.2972
5.55,5.55,51.3898
5.6,5.6,51.4805
5.65,5.65,51.5697
5.7,5.7,51.6571
5.75,5.75,51.743
5.8,5.8,51.8274
5.85,5.85,51.9102
5.9,5.9,51.9916
5.95,5.95,52.0715
6,6,52.1501
6.05,6.05,52.2272
6.1,6.1,52.3031
6.15,6.15,52.3776
6.2,6.2,52.4509
6.25,6.25,52.523
6.3,6.3,52.5938
6.35,6.35,52.6635
6.4,6.4,52.732
6.45,6.45,52.7994
6.5,6.5,52.8657
6.55,6.55,52.9309
6.6,6.6,52.9951
6.65,6.65,53.0582
6.7,6.7,53.1204
6.75,6.75,53.1816
6.8,6.8,53.2418
6.85,6.85,53.3011
6.9,6.9,53.3595
6.95,6.95,53.417
7,7,53.4736
7.05,7.05,53.5294
7.1,7.1,53.5843
7.15,7.15,53.6384
7.2,7.2,53.6917
7.25,7.25,53.7443
7.3,7.3,53.796
7.35,7.35,53.847
7.4,7.4,53.8973
7.45,7.45,53.9469
7.5,7.5,53.9957
7.55,7.55,54.0439
7.6,7.6,54.0914
7.65,7.65,54.1382
7.7,7.7,54.1844
7.75,7.75,54.2299
7.8,7.8,54.2748
7.85,7.85,54.3191
7.9,7.9,54.3628
7.95,7.95,54.4059
8,8,54.4485
8.05,8.05,54.4904
8.1,8.1,54.5319
8.15,8.15,54.5727
8.2,8.2,54.6131
8.25,8.25,54.6529
8.3,8.3,54.6922
8.35,8.35,54.731
8.4,8.4,54.7693
8.45,8.45,54.8071
8.5,8.5,54.8444
8.55,8.55,54.8813
8.6,8.6,54.9177
8.65,8.65,54.9537
8.7,8.7,54.9892
8.75,8.75,55.0243
8.8,8.8,55.0589
8.85,8.85,55.0932
8.9,8.9,55.127
8.95,8.95,55.1604
9,9,55.1934
9.05,9.05,55.2261
9.1,9.1,55.2583
9.15,9.15,55.2902
9.2,9.2,55.3216
9.25,9.25,55.3528
9.3,9.3,55.3835
9.35,9.35,55.414
9.4,9.4,55.444
9.45,9.45,55.4737
9.5,9.5,55.5031
9.55,9.55,55.5322
9.6,9.6,55.5609
9.65,9.65,55.5893
9.7,9.7,55.6174
9.75,9.75,55.6452
9.8,9.8,55.6727
9.85,9.85,55.6999
9.9,9.9,55.7268
9.95,9.95,55.7534
10,10,55.7797
