environment | t (second),environment | MgATP (mM),environment | v_cyc_nak (per_second)
0,0,0
0.01,0.01,2.08348
0.02,0.02,3.9868
0.03,0.03,5.73238
0.04,0.04,7.33903
0.05,0.05,8.82271
0.06,0.06,10.197
0.07,0.07,11.4736
0.08,0.08,12.6626
0.09,0.09,13.7726
0.1,0.1,14.8113
0.11,0.11,15.7854
0.12,0.12,16.7006
0.13,0.13,17.5623
0.14,0.14,18.3748
0.15,0.15,19.1424
0.16,0.16,19.8687
0.17,0.17,20.5568
0.18,0.18,21.2098
0.19,0.19,21.8303
0.2,0.2,22.4205
0.21,0.21,22.9828
0.22,0.22,23.519
0.23,0.23,24.0308
0.24,0.24,24.52
0.25,0.25,24.988
0.26,0.26,25.4361
0.27,0.27,25.8657
0.28,0.28,26.2777
0.29,0.29,26.6733
0.3,0.3,27.0534
0.31,0.31,27.4189
0.32,0.32,27.7707
0.33,0.33,28.1094
0.34,0.34,28.4359
0.35,0.35,28.7508
0.36,0.36,29.0546
0.37,0.37,29.348
0.38,0.38,29.6314
0.39,0.39,29.9054
0.4,0.4,30.1705
0.41,0.41,30.427
0.42,0.42,30.6754
0.43,0.43,30.916
0.44,0.44,31.1493
0.45,0.45,31.3755
0.46,0.46,31.595
0.47,0.47,31.808
0.48,0.48,32.0149
0.49,0.49,32.2158
0.5,0.5,32.4111
0.51,0.51,32.601
0.52,0.52,32.7857
0.53,0.53,32.9655
0.54,0.54,33.1404
0.55,0.55,33.3107
0.56,0.56,33.4767
0.57,0.57,33.6383
0.58,0.58,33.7959
0.59,0.59,33.9496
0.6,0.6,34.0994
